Item Number,Item Description,22/01/2025,23/01/2025,25/01/2025,27/01/2025,30/01/2025,01/02/2025,05/02/2025,08/02/2025,12/02/2025,15/02/2025,19/02/2025,22/02/2025,26/02/2025,01/03/2025,05/03/2025,08/03/2025,12/03/2025,15/03/2025,19/03/2025,22/03/2025,26/03/2025,31/03/2025,02/04/2025,05/04/2025,09/04/2025,12/04/2025,16/04/2025,19/04/2025,26/04/2025,30/04/2025,03/05/2025
"1189671","Pepperoni, Dry Cure, Frozen",,,,,"101.17",,"101.17",,"101.17","101.17","101.17",,"101.92","101.92","101.92",,,,,,,,,,,,,,,,
"1504473","Pepperoni, Sliced, Frozen",,,,,,,,,,,,,,,,,"102.33","102.33",,"102.33",,"106.63","73.95","73.95",,,,"73.95","73.95",,"108.86"
"1311589","Peppers, Choice Green",,,,"38.86",,,,"38.86",,,"38.86",,"38.86",,,,"38.86",,,,,,,,,,,,,,
"1503392","Peppers, Crushed Red, Packet",,,,,,,"16.94",,"16.84",,,,,,,,,,,,,,,,,,,"16.84",,,
"1503391","Peppers, Pepperoncini",,,,"43.73",,,"43.73",,,,"41.35","41.35","40.61",,,,"40.61",,,,,,"40.61",,,,,,"40.61",,
"1503393","Peppers, Sliced Banana",,,,,,"38.37",,,,,,,,,,,,,,,,,,"35.69",,,,,,,
"1503394","Peppers, Sliced Jalapeno",,,,"38.53",,,,,,,,,"35.7",,,,,,,,,,,"35.7",,,,,,,"49.42"
"9945205","Pineapple Tidbits, In Natural Juice Tidbit Trans Fat Compliant",,"59.82",,,"59.82",,"59.82",,,,"59.82",,,,,,,,,,,,,,,,,,,,
"1504037","Pineapple Tidbits, Light Syrup, #10",,,,,,,,,,,,,,,,"56.8","56.8","56.8",,,,"56.8",,"56.8",,"56.8",,,"56.8",,"55.83"
"1503388","Pizza Crust, Gluten Free, Frozen",,,,"15.99","15.99","15.99",,,"16.32","16.32","16.32",,"16.22","16.22","16.22",,,"16.22",,"16.22",,,"16.22","16.22","16.22",,"16.22","16.22","16.22",,"20.98"
"1260051","Pizza Sauce, Fully Seasoned",,"53.98",,"53.98","53.98","53.98","53.98",,"53.98","53.98","53.98",,"53.98","53.98","53.98",,,"53.98","40.43","40.43","53.98","53.98",,"53.98","53.98","53.98","53.98","53.98","53.98","53.98","53.98"
"1294190","Plates, 9In Paper, Custom",,"34.48",,,,,,,,,,,,,,,,,,,,,"33.65",,,,,,"33.65",,
"1263084","Salami, Pizza, Sliced Frozen",,"9.97",,,,,,,,,"9.97",,,,,,,,,,,,,,,,,"9.97",,,
"1284997","Sanitizers, Clicksan",,,,"56.34",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1380913","Sauce, Alfredo, Frozen",,,,"21.33",,"21.33",,,,"21.02","21.02",,,"21.02",,,"21.02",,,"21.02","21.02",,"20.72",,"20.72","20.72",,"20.72","20.72",,"27.57"
